"Report Name","CPA Report"
"Day of","05/17/2026"
"Placement Name","Issuer","Card Name","Tier","Current Net CPA","Previous Net CPA","Percent Change","Date Change of Current Net CPA"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Wells Fargo","Wells Fargo Reflect (R) Card","","129","240","-46.25%","2026-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Hilton Honors American Express Surpass(R) Card","","150","60","150.00%","2026-04-16"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Hilton Honors Card from American Express","","180","75","140.00%","2026-04-16"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Delta SkyMiles(R) Gold American Express Card","","210","60","250.00%","2026-04-02"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Atmos(TM) Rewards Visa Signature(R) Business Card","","180","240","-25.00%","2026-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Bank of America(R) Business Advantage Customized Cash Rewards Mastercard(R) credit card","","720","600","20.00%","2026-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Bank of America(R) Business Advantage Unlimited Cash Rewards Mastercard(R) credit card","","720","600","20.00%","2026-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Bank of America(R) Unlimited Cash Rewards Credit Card","","90","180","-50.00%","2026-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","BankAmericard(R) credit card","","90","90","0.00%","2026-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","United Club(SM) Card","","72","33","118.18%","2026-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","United Gateway(SM) Card","","72","33","118.18%","2026-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","United Quest(SM) Card","","72","33","118.18%","2026-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","United(SM) Business Card","","120","111","8.11%","2026-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","United(SM) Explorer Card","","72","33","118.18%","2026-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Mid America Bank","Total Visa(R) Card","","10.8","15","-28.00%","2026-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","World Of Hyatt Business Credit Card","","21","102","-79.41%","2026-03-27"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Business","Graphite(TM) Business Cash Unlimited Card","","300","","-","2026-03-25"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Citi","Citi Strata Elite(SM) Card","","390","210","85.71%","2026-03-25"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Citi","Citi Double Cash(R) Card","","120","117","2.56%","2026-03-19"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Citi","Citi(R) Diamond Preferred(R) Card","","120","90","33.33%","2026-03-18"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Chase Slate(R)","","90","","-","2026-03-02"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Business","The Business Platinum(R) Card from American Express","","720","600","20.00%","2026-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Bank of America(R) Business Advantage Travel Rewards World Mastercard(R) credit card","","600","480","25.00%","2026-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Chase Freedom Rise(R)","","0","57","-100.00%","2026-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Disney(R) Inspire Visa(R) Card","","117","","-","2026-02-03"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Nibbles","Nibbles Pet Rewards Credit Card","","60","120","-50.00%","2026-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Citi","Citi(R) / AAdvantage(R) Platinum Select(R) World Elite Mastercard(R)","","120","240","-50.00%","2026-01-20"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","The World Of Hyatt Credit Card","","21","45","-53.33%","2026-01-16"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bilt","Bilt Blue Card","","30","","-","2026-01-14"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bilt","Bilt Obsidian Card","","60","","-","2026-01-14"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bilt","Bilt Palladium Card","","90","","-","2026-01-14"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Wells Fargo","Wells Fargo Signify Business Cash(R) Card","","210","","-","2026-01-14"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Ink Business Preferred(R) Credit Card","","360","390","-7.69%","2026-01-08"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Marriott Bonvoy Bold(R) Credit Card","","21","45","-53.33%","2026-01-08"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Marriott Bonvoy Boundless(R) Credit Card","","21","45","-53.33%","2026-01-08"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Business","American Express(R) Blue Business Cash Card","","240","60","300.00%","2026-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Business","American Express(R) Business Gold Card","","360","120","200.00%","2026-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Delta SkyMiles(R) Blue American Express Card","","180","150","20.00%","2026-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Delta SkyMiles(R) Platinum American Express Card","","210","150","40.00%","2026-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Marriott Bonvoy Bevy(R) American Express(R) Card","","240","60","300.00%","2026-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Bank of America(R) Customized Cash Rewards credit card","","300","360","-16.67%","2026-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Bank of America(R) Travel Rewards Visa(R) credit card","","390","270","44.44%","2026-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Cleo","The Cleo Card<sup>1</sup> does the work. You take the credit.","","27","27","0.00%","2025-12-17"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chime","Chime Card(TM)","","15","12","25.00%","2025-12-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One SavorOne Cash Rewards Credit Card [Qualified_60]","","27","27","0.00%","2025-11-03"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Blue Cash Everyday(R) Card from American Express","","150","","-","2025-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Citi","Citi(R) / AAdvantage(R) Globe(TM) Mastercard(R)","","240","","-","2025-10-21"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Delta Reserve(R) Credit Card from American Express","","300","60","400.00%","2025-10-20"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","CreditStrong","CreditStrong Business","","180","","-","2025-10-10"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Citi","Citi(R) / AAdvantage Business(TM) World Elite Mastercard(R)","","90","120","-25.00%","2025-10-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Step Card","Secured Step Card [Level 1 android]","","9","12","-25.00%","2025-09-25"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Step Card","Secured Step Card [Level 1 ios]","","9","12","-25.00%","2025-09-25"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Sapphire Reserve for Business(SM)","","390","300","30.00%","2025-09-08"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Aeroplan(R) Credit Card","","21","21","0.00%","2025-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","British Airways Visa Signature(R) Card","","21","21","0.00%","2025-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Chase Freedom Unlimited(R)","","210","210","0.00%","2025-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Chase Sapphire Preferred(R) Card","","270","270","0.00%","2025-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Chase Sapphire Reserve(R)","","300","300","0.00%","2025-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Disney(R) Premier Visa(R)","","117","117","0.00%","2025-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Disney(R) Visa(R) Card","","117","117","0.00%","2025-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","IHG One Rewards Premier Business Credit Card","","24","102","-76.47%","2025-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","IHG One Rewards Premier Credit Card","","24","24","0.00%","2025-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","IHG One Rewards Traveler Credit Card","","24","24","0.00%","2025-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Hilton Honors American Express Aspire Card","","0","0","-","2025-08-15"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Gemini","The Gemini Credit Card","","150","","-","2025-08-07"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Citi","Citi Strata Premier(R) Card","","180","180","0.00%","2025-08-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Citi","Citi Strata(SM) Card","","150","150","0.00%","2025-08-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Bank of America(R) Unlimited Cash Rewards credit card for Students","","60","120","-50.00%","2025-06-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Revenued","Revenued Business Card","","27","0","Infinity%","2025-06-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Wells Fargo","Wells Fargo Autograph Journey(SM) Card","","180","210","-14.29%","2025-06-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Step Card","Secured Step Card","","0","60","-100.00%","2025-05-13"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Step Card","Secured Step Card [Level 2 android]","","0","","-","2025-05-13"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Step Card","Secured Step Card [Level 2 ios]","","0","","-","2025-05-13"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Revenued","Revenued Business Card [Level 1]","","27","","-","2025-04-26"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Revenued","Revenued Business Card [Level 2]","","300","222","35.14%","2025-04-25"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Kovo Credit Builder","Kovo Credit Builder","","21","","-","2025-03-11"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Business","Business Green Rewards Card from American Express","","120","120","0.00%","2025-02-21"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Current","Current Build Card","","12","15","-20.00%","2025-02-10"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Business","Delta SkyMiles(R) Reserve Business American Express Card","","15","60","-75.00%","2025-01-14"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Business","The Blue Business(R) Plus Credit Card from American Express","","120","300","-60.00%","2025-01-14"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Chase","Ink Business Premier(R) Credit Card","","150","390","-61.54%","2025-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Quicksilver Cash Rewards for Good Credit [Qualified_30]","","45","","-","2024-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Savor Cash Rewards for Good Credit [Qualified_30]","","45","","-","2024-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Spark Cash [Level 1]","","240","","-","2024-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Spark Cash [Level 2]","","240","","-","2024-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards for Good Credit [Qualified_30]","","36","","-","2024-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Citi","American Airlines AAdvantage(R) MileUp(R) Card","","180","60","200.00%","2024-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","First PREMIER Bankcard","PREMIER Bankcard(R) Mastercard(R) Credit Card","","24","7.2","233.33%","2024-06-03"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","CreditStrong","MAGNUM","","36","24","50.00%","2024-05-20"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Brightway","OneMain Financial BrightWay(R) Card","","22.8","","-","2024-02-21"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","TD Bank","TD FlexPay Credit Card","","180","180","0.00%","2024-01-02"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Wells Fargo","Wells Fargo Autograph(R) Card","","180","","-","2024-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Revenued","Revenued Business Card [ACT]","","0","0","-","2023-12-12"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Spark Cash Plus [Level 1]","","480","0","Infinity%","2023-11-13"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Spark Cash Plus [Level 2]","","660","","-","2023-11-13"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","USAA","USAA Preferred Cash Rewards Credit Card","","210","210","0.00%","2023-10-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","USAA","USAA Rate Advantage Credit Card","","150","150","0.00%","2023-10-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Bank of America(R) Premium Rewards(R) Visa(R) credit card","","60","60","0.00%","2023-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Spark Cash Plus","","0","270","-100.00%","2023-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Spark Cash Plus [CO-APV] [Level 1]","","12","","-","2023-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Spark Cash Select","","0","324","-100.00%","2023-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Spark Cash Select [Level 1]","","324","","-","2023-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Spark Cash Select [CO-APV] [Level 1]","","12","","-","2023-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Business [Level 1]","","360","","-","2023-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Business [CO-APV] [Level 1]","","12","","-","2023-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture X Business [Level 1]","","600","","-","2023-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture X Business [Level 2]","","708","","-","2023-09-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Revvi Bankcard","Revvi Card","","15","","-","2023-07-28"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Business","","0","270","-100.00%","2023-07-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Mid America Bank","First Access Visa(R) Card","","15","10.8","38.89%","2023-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Mid America Bank","FIT(TM) Platinum Mastercard(R)","","18","18","0.00%","2023-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Synovus Bank","First Digital Mastercard(R)","","16.5","10.8","52.78%","2023-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","TD Bank","TD Cash Credit Card","","180","150","20.00%","2023-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","TD Bank","TD Double Up(SM) Credit Card","","180","","-","2023-05-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Bank of America","Bank of America(R) Platinum Plus(R) Mastercard(R) Business card","","120","","-","2023-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Citi","Citi(R) / AAdvantage(R) Executive World Elite(TM) Mastercard(R)","","120","30","300.00%","2023-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Discover","Discover it(R) Student chrome","","60","","-","2023-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Discover","Discover it(R) Student chrome [Non-Prime]","","3","3","0.00%","2023-04-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Business","Delta SkyMiles(R) Gold Business American Express Card","","45","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Business","Delta SkyMiles(R) Platinum Business American Express Card","","45","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Business","Marriott Bonvoy Business(R) American Express(R) Card","","15","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Business","The Hilton Honors American Express Business Card","","15","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmOne","AmONE - The Leading Loan Matching Service","","15.44","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Brigit","Brigit","","15","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Platinum Credit Card [Qualified_60]","","27","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Platinum Secured Credit Card [Qualified_60]","","22.8","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Quicksilver Cash Rewards for Good Credit [Qualified_60]","","27","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Quicksilver Secured Cash Rewards Credit Card [Qualified_60]","","22.8","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Quicksilver Student Cash Rewards Credit Card [Qualified_60]","","16.2","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One QuicksilverOne Cash Rewards Credit Card [Qualified_60]","","27","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Savor Cash Rewards for Good Credit [Qualified_60]","","27","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Savor Student Cash Rewards Credit Card [Qualified_60]","","16.2","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Spark Cash Plus [CO-APV]","","12","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture X Rewards Credit Card [Qualified_30]","","240","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards for Good Credit [Qualified_60]","","27","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Celtic Bank","Reflex(R) Platinum Mastercard(R)","","21","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Citi","Costco Anywhere Visa(R) Card by Citi","","30","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Discover","Discover it(R) Cash Back [Non-Prime]","","3","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Discover","Discover it(R) Chrome [Student Outsort]","","26.4","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Discover","Discover it(R) Miles [Prime]","","150","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Discover","Discover it(R) Secured [Thick File]","","18","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Discover","Discover it(R) Secured [Thin File]","","21","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Discover","Discover it(R) Student Cash Back","","60","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Discover","Discover it(R) Student Cash Back [Non-Prime]","","3","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","NetSpend","NetSpend(R) Visa(R) Prepaid Card","","9.6","","-","2023-03-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Savor Cash Rewards Credit Card [Qualified_30]","","72","","-","2023-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Savor Cash Rewards Credit Card [CO-APV] [Qualified_30]","","45","","-","2023-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards Credit Card [CO-APV] [Qualified_30]","","36","","-","2023-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Greenlight","Greenlight Debit Card For Kids","","30","","-","2023-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","American Express Platinum Card(R)","","","","-","-"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","American Express Platinum Card(R)","Tier 1","360","360","0.00%","2025-08-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","American Express Platinum Card(R)","Tier 2","480","480","0.00%","2025-08-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","American Express Platinum Card(R)","Tier 3","600","","-","2025-08-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","American Express(R) Gold Card","","","","-","-"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","American Express(R) Gold Card","Tier 1","360","","-","2026-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","American Express(R) Gold Card","Tier 2","480","","-","2026-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","American Express(R) Gold Card","Tier 3","600","","-","2026-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Blue Cash Preferred(R) Card from American Express","","","","-","-"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Blue Cash Preferred(R) Card from American Express","Tier 1","150","","-","2025-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Blue Cash Preferred(R) Card from American Express","Tier 2","210","","-","2025-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","AmEx Consumer","Blue Cash Preferred(R) Card from American Express","Tier 3","270","","-","2025-01-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Rewards Credit Card [Qualified_30]","","","","-","-"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Rewards Credit Card [Qualified_30]","Tier 1","180","180","0.00%","2025-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Rewards Credit Card [Qualified_30]","Tier 2","276","276","0.00%","2025-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Rewards Credit Card [Qualified_30]","Tier 3","312","312","0.00%","2025-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Rewards Credit Card [Qualified_30]","Tier 4","327","327","0.00%","2025-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Rewards Credit Card [Qualified_30]","Tier 5","348","348","0.00%","2025-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Rewards Credit Card [Qualified_30]","Tier 6","366","366","0.00%","2025-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Rewards Credit Card [Qualified_30]","Tier 7","384","384","0.00%","2025-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Rewards Credit Card [Qualified_30]","Tier 8","402","402","0.00%","2025-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One Venture Rewards Credit Card [Qualified_30]","Tier 9","426","426","0.00%","2025-11-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards Credit Card [Qualified_30]","","","","-","-"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards Credit Card [Qualified_30]","Tier 1","150","","-","2023-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards Credit Card [Qualified_30]","Tier 2","198","","-","2023-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards Credit Card [Qualified_30]","Tier 3","225","","-","2023-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards Credit Card [Qualified_30]","Tier 4","237","","-","2023-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards Credit Card [Qualified_30]","Tier 5","252","","-","2023-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards Credit Card [Qualified_30]","Tier 6","276","","-","2023-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards Credit Card [Qualified_30]","Tier 7","294","","-","2023-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards Credit Card [Qualified_30]","Tier 8","312","","-","2023-02-01"
"693350 - ezrirx l ezrielgreen Credit Cards Offers","Capital One","Capital One VentureOne Rewards Credit Card [Qualified_30]","Tier 9","330","","-","2023-02-01"
